0xc350
0xc65d
0xc969
0xcc76
0xcf80
0xd28a
0xd591
0xd897
0xdb99
0xde99
0xe195
0xe48e
0xe782
0xea72
0xed5e
0xf044
0xf325
0xf601
0xf8d7
0xfba6
0xfe6f
0x19b8
0x19fe
0x1a43
0x1a87
0x1acb
0x1b0e
0x1b50
0x1b91
0x1bd2
0x1c11
0x1c50
0x1c8e
0x1ccb
0x1d07
0x1d42
0x1d7d
0x1db6
0x1dee
0x1e26
0x1e5c
0x1e92
0x1ec7
0x1efb
0x1f2d
0x1f5f
0x1f90
0x1fc0
0x1fef
0x201d
0x204b
0x2077
0x20a2
0x20cd
0x20f6
0x211f
0x2147
0x216e
0x2194
0x21b9
0x21de
0x2201
0x2224
0x2246
0x2267
0x2288
0x22a8
0x22c6
0x22e5
0x2302
0x231f
0x233b
0x2356
0x2371
0x238b
0x23a4
0x23bd
0x23d5
0x23ec
0x2403
0x2419
0x242f
0x2444
0x2458
0x246c
0x247f
0x2492
0x24a5
0x24b7
0x24c8
0x24d9
0x24e9
0x24f9
0x2509
0x2518
0x2527
0x2535
0x2543
0x2551
0x255e
0x256b
0x2577
0x2583
0x258f
0x259a
0x25a5
0x25b0
0x25ba
0x25c5
0x25ce
0x25d8
0x25e1
0x25ea
0x25f3
0x25fc
0x2604
0x260c
0x2614
0x261b
0x2623
0x262a
0x2631
0x2637
0x263e
0x2644
0x264a
0x2650
0x2656
0x265c
0x2661
0x2666
0x266b
0x2670
0x2675
0x267a
0x267e
0x2683
0x2687
0x268b
0x268f
0x2693
0x2697
0x269b
0x269e
0x26a2
0x26a5
0x26a8
0x26ab
0x26ae
0x26b1
0x26b4
0x26b7
0x26ba
0x26bc
0x26bf
0x26c1
0x26c4
0x26c6
0x26c8
0x26ca
0x26cd
0x26cf
0x26d1
0x26d3
0x26d4
0x26d6
0x26d8
0x26da
0x26db
0x26dd
0x26de
0x26e0
0x26e1
0x26e3
0x26e4
0x26e6
0x26e7
0x26e8
0x26e9
0x26ea
0x26ec
0x26ed
0x26ee
0x26ef
0x26f0
0x26f1
0x26f2
0x26f3
0x26f3
0x26f4
0x26f5
0x26f6
0x26f7
0x26f8
0x26f8
0x26f9
0x26fa
0x26fa
0x26fb
0x26fc
0x26fc
0x26fd
0x26fd
0x26fe
0x26fe
0x26ff
0x2700
0x2700
0x2700
0x2701
0x2701
0x2702
0x2702
0x2703
0x2703
0x2703
0x2704
0x2704
0x2705
0x2705
0x2705
0x2705
0x2706
0x2706
0x2706
0x2707
0x2707
0x2707
0x2707
0x2708
0x2708
0x2708
0x2708
0x2709
0x2709
0x2709
0x2709
0x2709
0x270a
0x270a
0x270a
0x270a
0x270a
0x270a
0x270b
0x270b
0x270b
0x270b
0x270b
0x270b
0x270b
0x270c
0x270c
0x270c
0x270c
0x270c
